pair_name	sex	pleio_total	pleio_type_ANTAGONIST	pleio_type_AGONIST	pleio_agonist_dir_POSITIVE	pleio_agonist_dir_NEGATIVE	convincing_CONVINCING	convincing_type_CONVINCING_SAME	convincing_type_CONVINCING_DISTINCT
Waist-hip ratio:Waist-hip ratio (<= 50 yrs, adjBMI)	male	2	NA	2	1	1	2	2	NA
Waist-hip ratio:Waist-hip ratio (> 50 yrs, adjBMI)	female	19	NA	19	11	8	19	19	NA
Waist-hip ratio:Waist-hip ratio (> 50 yrs, adjBMI)	male	4	NA	4	3	1	4	4	NA
Waist-hip ratio:Waist-hip ratio (adjBMI)	female	21	NA	21	13	8	21	21	NA
Waist-hip ratio:Waist-hip ratio (adjBMI)	male	4	NA	4	3	1	4	4	NA
Waist-hip ratio:Weight	female	2	NA	2	2	NA	2	2	NA
Waist-hip ratio:Weight	male	8	1	7	5	2	8	8	NA
logTG:Multisite chronic pain	female	6	3	3	1	2	6	3	3
logTG:Multisite chronic pain	male	4	NA	4	1	3	4	2	2
logTG:Nonword reading	female	1	1	NA	NA	NA	1	1	NA
logTG:PTSD	female	1	NA	1	1	NA	1	NA	1
logTG:Parkinson's disease	female	6	4	2	2	NA	6	2	4
logTG:Parkinson's disease	male	4	2	2	1	1	4	3	1
logTG:Right Putamen	female	4	3	1	1	NA	4	3	1
logTG:Right Putamen	male	1	1	NA	NA	NA	1	NA	1
logTG:Schizophrenia	female	12	8	4	3	1	12	9	3
logTG:Schizophrenia	male	11	5	6	5	1	11	5	6
logTG:Snoring	female	10	3	7	5	2	10	6	4
logTG:Snoring	male	2	NA	2	2	NA	2	2	NA
logTG:Spelling	female	1	1	NA	NA	NA	1	1	NA
logTG:TC	female	152	35	117	59	58	152	110	42
logTG:TC	male	141	36	105	57	48	141	102	39
logTG:Thyroid-stimulating hormone	female	4	2	2	1	1	4	4	NA
logTG:Thyroid-stimulating hormone	male	4	1	3	1	2	4	3	1
logTG:Type 2 diabetes	female	56	7	49	26	23	56	42	14
logTG:Type 2 diabetes	male	47	7	40	22	18	47	32	15
logTG:Waist circumference	female	12	2	10	5	5	12	11	1
logTG:Waist circumference	male	9	2	7	5	2	9	8	1
logTG:Waist circumference (adjBMI)	female	19	1	18	4	14	19	12	7
logTG:Waist circumference (adjBMI)	male	10	7	3	1	2	10	6	4
logTG:Waist-hip ratio	female	28	3	25	10	15	28	24	4
logTG:Waist-hip ratio	male	7	1	6	3	3	7	5	2
logTG:Waist-hip ratio (<= 50 yrs, adjBMI)	female	17	NA	17	7	10	17	16	1
logTG:Waist-hip ratio (<= 50 yrs, adjBMI)	male	2	NA	2	1	1	2	1	1
logTG:Waist-hip ratio (> 50 yrs, adjBMI)	female	20	NA	20	5	15	20	17	3
logTG:Waist-hip ratio (> 50 yrs, adjBMI)	male	3	1	2	2	NA	3	2	1
logTG:Waist-hip ratio (adjBMI)	female	29	2	27	12	15	29	21	8
logTG:Waist-hip ratio (adjBMI)	male	6	NA	6	3	3	6	4	2
logTG:Weight	female	10	3	7	6	1	10	6	4
logTG:Weight	male	8	4	4	4	NA	8	7	1
logTG:nonHDL	female	161	22	139	69	70	161	124	37
logTG:nonHDL	male	125	22	103	58	45	125	99	26
nonHDL:Nonword reading	male	1	1	NA	NA	NA	1	1	NA
nonHDL:Parkinson's disease	female	6	5	1	1	NA	6	1	5
nonHDL:Parkinson's disease	male	3	3	NA	NA	NA	3	2	1
nonHDL:Right Putamen	female	2	1	1	1	NA	2	1	1
nonHDL:Right Putamen	male	2	1	1	1	NA	2	1	1
nonHDL:Risk-taking behaviour	female	2	NA	2	1	1	2	2	NA
nonHDL:Schizophrenia	female	7	7	NA	NA	NA	7	2	5
nonHDL:Schizophrenia	male	4	2	2	1	1	4	2	2
nonHDL:Snoring	female	4	1	3	2	1	4	3	1
nonHDL:Snoring	male	1	NA	1	NA	1	1	NA	1
nonHDL:TC	female	190	12	178	100	78	190	182	8
nonHDL:TC	male	178	8	170	86	84	178	170	8
nonHDL:Thyroid-stimulating hormone	female	4	1	3	2	1	4	2	2
nonHDL:Thyroid-stimulating hormone	male	6	2	4	3	1	6	2	4
nonHDL:Type 2 diabetes	female	32	6	26	14	12	32	24	8
nonHDL:Type 2 diabetes	male	30	14	16	7	9	30	16	14
nonHDL:Waist circumference	female	4	1	3	1	2	4	3	1
nonHDL:Waist circumference	male	2	1	1	NA	1	2	1	1
nonHDL:Waist circumference (adjBMI)	female	17	NA	17	6	11	17	12	5
nonHDL:Waist circumference (adjBMI)	male	1	1	NA	NA	NA	1	1	NA
nonHDL:Waist-hip ratio	female	19	NA	19	9	10	19	15	4
nonHDL:Waist-hip ratio	male	3	1	2	2	NA	3	2	1
nonHDL:Waist-hip ratio (<= 50 yrs, adjBMI)	female	13	1	12	6	6	13	12	1
nonHDL:Waist-hip ratio (<= 50 yrs, adjBMI)	male	1	NA	1	1	NA	1	1	NA
nonHDL:Waist-hip ratio (> 50 yrs, adjBMI)	female	14	NA	14	5	9	14	13	1
nonHDL:Waist-hip ratio (> 50 yrs, adjBMI)	male	1	NA	1	1	NA	1	NA	1
nonHDL:Waist-hip ratio (adjBMI)	female	23	NA	23	12	11	23	16	7
nonHDL:Waist-hip ratio (adjBMI)	male	2	NA	2	1	1	2	1	1
nonHDL:Weight	female	1	1	NA	NA	NA	1	1	NA
nonHDL:Weight	male	5	5	NA	NA	NA	5	3	2
